ID, 캐릭터 이름 ,대사 ,이벤트 번호(선택 스크립트의 엑셀의 ID를 불러오기 위함),"스킵라인(분기점에 대한 대사 이후 곧바로 다른 라인으로 가기 위해, 어떤 라인을 갈지 설정)",비고 
1,은행원,안녕하세요. 무슨일로 오셨나요?,1,-1,
2,은행원,저축 말씀이시군요!,-1,4,
3,은행원,주식 말씀이시군요!,-1,10,
4,은행원,저희는 자유 저축 예적금과 정기 예금과 정기 적금 3가지의 상품을 제공하고 있습니다. ,-1,-1,
5,은행원,어떤 상품에 저축하실 생각이신가요?,2,-1,
6,은행원,좋은 선택이네요!,-1,-1,
7,은행원,자유 예적금 상품은 금리가 낮긴하지만 자유롭게 돈을 운용할 수 있어요,-1,12,
8,은행원,정기 예금은 목돈을 굴리기 위한 용도로 많이 사용해요. ,-1,12,
9,은행원,정기 적금은 목돈을 만들기 위한 용도로 많이 사용해요. ,-1,12,
10,은행원,모든 투자는 돈을 잃을 위험성이 있어 신중하게 결정해야해요!,-1,-1,
11,은행원,정말 투자하실건가요?,4,-1,
12,은행원,입금과 출금 중 어떤 서비스를 원하세요?,3,-1,
13,은행원,매수와 매도 중 어떤 서비스를 원하세요?,5,-1,
14,은행원,감사합니다. 또 방문해주세요. ,-1,-1,
